time (s)	coil I (A)	last det (V)	int current (uC)
9454.098905	1.016356	0.493770	441.098602
9454.099871	1.460654	0.493770	1852.090698
9454.100913	1.454143	0.493770	3367.307617
9454.101813	1.420411	0.493770	4645.677734
9454.102679	1.387156	0.493770	5846.954590
9454.103762	1.348825	0.493770	7307.731445
9454.104711	1.316049	0.493770	8556.661133
9454.105583	1.286733	0.493770	9678.692383
9454.106644	1.252877	0.493770	11007.995117
9454.107659	1.221599	0.493770	12247.917969
9454.108560	1.195042	0.493770	13324.650391
9454.109539	1.166986	0.493770	14467.129883
9454.110588	1.137367	0.493770	15660.227539
9454.111495	1.118031	0.493770	16674.281250
9454.112355	1.095348	0.493770	17616.281250
9454.113454	0.812662	0.493770	18509.396484
9454.114456	0.114302	0.493770	18623.927734
9454.115336	0.097921	0.493770	18710.097656
9454.116329	0.098309	0.493770	18807.718750
9454.117387	0.098221	0.493770	18911.636719
9454.118271	0.098188	0.493770	18998.435547
9454.119127	0.098276	0.493770	19082.560547
9454.120222	0.098247	0.493770	19190.140625
9454.121186	0.098188	0.493770	19284.794922
9454.122049	0.098247	0.493770	19369.582031
9454.123116	0.098313	0.493770	19474.482422
9455.040017	1.059628	0.519833	535.111938
9455.041009	1.469561	0.519833	1992.916016
9455.041912	1.455656	0.519833	3307.373047
9455.042908	1.418727	0.519833	4720.424805
9455.043982	1.379095	0.519833	6201.573242
9455.044878	1.346305	0.519833	7407.862305
9455.045779	1.314031	0.519833	8591.803711
9455.046886	1.278314	0.519833	10006.897461
9455.047849	1.247706	0.519833	11208.438477
9455.048719	1.221244	0.519833	12270.920898
9455.049768	1.190262	0.519833	13519.505859
9455.050783	1.160991	0.519833	14697.912109
9455.051673	1.136034	0.519833	15708.982422
9455.052629	1.116053	0.519833	16775.929687
9455.053684	1.088752	0.519833	17924.562500
9455.054623	0.721857	0.519833	18602.386719
9455.055481	0.113657	0.519833	18699.904297
9455.056544	0.098309	0.519833	18804.406250
9455.057558	0.098306	0.519833	18904.087891
9455.058436	0.098368	0.519833	18990.455078
9455.059399	0.098368	0.519833	19085.183594
9455.060473	0.098405	0.519833	19190.869141
9455.061375	0.098317	0.519833	19279.550781
9455.062244	0.098364	0.519833	19365.029297
9455.063334	0.098452	0.519833	19472.341797
9455.064326	0.098320	0.519833	19569.875000
9456.191930	0.979783	0.609459	414.448059
9456.192801	1.458431	0.609459	1684.741699
9456.193836	1.458472	0.609459	3194.259766
9456.194753	1.424359	0.609459	4500.396973
9456.195638	1.390679	0.609459	5731.147461
9456.196531	1.357277	0.609459	6943.195312
9456.197566	1.322472	0.609459	8311.954102
9456.198453	1.292695	0.609459	9458.575195
9456.199327	1.264541	0.609459	10563.784180
9456.200331	1.233772	0.609459	11802.491211
9456.201244	1.205350	0.609459	12902.976562
9456.202134	1.179474	0.609459	13952.708008
9456.203123	1.151169	0.609459	15091.214844
9456.204147	1.125458	0.609459	16243.683594
9456.205038	1.105422	0.609459	17228.615234
9456.205911	1.081886	0.609459	18173.101562
9456.207010	0.337500	0.609459	18544.013672
9456.207932	0.098353	0.609459	18634.695312
9456.208807	0.098185	0.609459	18720.607422
9456.209777	0.098324	0.609459	18815.982422
9456.210796	0.098210	0.609459	18916.058594
9456.211680	0.098240	0.609459	19002.902344
9456.212538	0.098258	0.609459	19087.207031
9456.213615	0.098276	0.609459	19193.050781
9456.214542	0.098280	0.609459	19284.156250
9456.215402	0.098196	0.609459	19368.605469
9456.216479	0.098452	0.609459	19474.638672
9457.131955	0.983057	0.569454	411.900726
9457.133034	1.467484	0.569454	1995.316162
9457.134044	1.451503	0.569454	3461.333984
9457.134942	1.418079	0.569454	4734.768555
9457.135921	1.381582	0.569454	6087.337402
9457.136984	1.343562	0.569454	7515.543945
9457.137896	1.311914	0.569454	8712.009766
9457.138764	1.281936	0.569454	9824.730469
9457.139869	1.247955	0.569454	11203.720703
9457.140855	1.218007	0.569454	12404.674805
9457.141725	1.191943	0.569454	13441.665039
9457.142742	1.162833	0.569454	14624.266602
9457.143793	1.134034	0.569454	15816.136719
9457.144680	1.115248	0.569454	16805.361328
9457.145570	1.091320	0.569454	17776.636719
9457.146680	0.678666	0.569454	18529.955078
9457.147631	0.105454	0.569454	18630.242187
9457.148488	0.098185	0.569454	18714.386719
9457.149524	0.098368	0.569454	18816.294922
9457.150556	0.098251	0.569454	18917.689453
9457.151443	0.098269	0.569454	19004.853516
9457.152392	0.098306	0.569454	19098.146484
9457.153448	0.098320	0.569454	19201.972656
9457.154384	0.098295	0.569454	19293.976562
9457.155252	0.098156	0.569454	19379.175781
9457.156300	0.098379	0.569454	19482.277344
9458.281915	0.998862	0.662629	423.517639
9458.283007	1.467638	0.662629	2026.178223
9458.284014	1.450342	0.662629	3486.672363
9458.284912	1.417090	0.662629	4759.218750
9458.285910	1.379865	0.662629	6136.323730
9458.286971	1.342148	0.662629	7560.343262
9458.287874	1.310522	0.662629	8743.745117
9458.288741	1.280596	0.662629	9854.021484
9458.289862	1.246480	0.662629	11251.325195
9458.290823	1.217278	0.662629	12421.128906
9458.291698	1.191357	0.662629	13463.566406
9458.292746	1.160966	0.662629	14680.257812
9458.293786	1.132526	0.662629	15858.083984
9458.294681	1.114149	0.662629	16855.248047
9458.295631	1.089822	0.662629	17890.578125
9458.296699	0.623551	0.662629	18556.531250
9458.297625	0.103418	0.662629	18652.296875
9458.298485	0.098108	0.662629	18736.669922
9458.299543	0.098276	0.662629	18840.646484
9458.300553	0.098199	0.662629	18939.828125
9458.301434	0.098130	0.662629	19026.281250
9458.302402	0.098273	0.662629	19121.410156
9458.303443	0.098284	0.662629	19223.722656
9458.304364	0.098108	0.662629	19314.080078
9458.305222	0.098203	0.662629	19398.337891
9458.306279	0.098342	0.662629	19502.285156
9459.228095	0.993820	0.644465	427.342407
9459.228969	1.458937	0.644465	1702.453125
9459.229954	1.459050	0.644465	3139.617676
9459.230906	1.424114	0.644465	4495.374023
9459.231780	1.390660	0.644465	5710.811035
9459.232757	1.356218	0.644465	7035.836426
9459.233783	1.320015	0.644465	8390.171875
9459.234670	1.290414	0.644465	9534.768555
9459.235533	1.261150	0.644465	10623.140625
9459.236611	1.228986	0.644465	11947.987305
9459.237540	1.201080	0.644465	13063.791016
9459.238412	1.175416	0.644465	14088.753906
9459.239386	1.147991	0.644465	15206.896484
9459.240419	1.122931	0.644465	16366.883789
9459.241311	1.101779	0.644465	17349.669922
9459.242184	1.072610	0.644465	18286.058594
9459.243252	0.264364	0.644465	18568.398437
9459.244183	0.098068	0.644465	18659.699219
9459.245050	0.098163	0.644465	18744.806641
9459.246107	0.098280	0.644465	18848.689453
9459.247120	0.098163	0.644465	18948.128906
9459.248012	0.098104	0.644465	19035.638672
9459.248964	0.098346	0.644465	19129.263672
9459.249998	0.098273	0.644465	19230.876953
9459.250919	0.098214	0.644465	19321.332031
9459.251782	0.098101	0.644465	19405.992187
9460.366848	1.037139	0.687415	512.346497
9460.367726	1.463972	0.687415	1797.714111
9460.368651	1.458061	0.687415	3146.420898
9460.369740	1.418566	0.687415	4691.238770
9460.370698	1.382571	0.687415	6015.741699
9460.371569	1.351025	0.687415	7192.484863
9460.372626	1.314814	0.687415	8582.244141
9460.373644	1.280966	0.687415	9886.267578
9460.374541	1.252423	0.687415	11009.691406
9460.375523	1.222888	0.687415	12210.567383
9460.376578	1.191010	0.687415	13467.082031
9460.377496	1.164247	0.687415	14535.860352
9460.378358	1.139443	0.687415	15518.060547
9460.379451	1.115965	0.687415	16737.810547
9460.380449	1.090415	0.687415	17826.044922
9460.381327	0.858040	0.687415	18579.404297
9460.382331	0.128734	0.687415	18708.654297
9460.383393	0.098181	0.687415	18812.921875
9460.384282	0.098134	0.687415	18900.162109
