crossing time (s)	slope (V/s)	crossing number
5354.386831	1.135757	2304
5355.357150	1.162549	2305
5356.451555	1.248010	2306
5357.445144	0.908280	2307
5358.518474	1.191268	2308
5359.503311	0.974661	2309
5360.592834	1.166290	2310
5361.576903	1.093444	2311
5362.665524	1.172901	2312
5363.633298	0.864645	2313
5364.728558	1.219032	2314
5365.711375	1.042603	2315
5366.803668	1.257486	2316
5367.768506	0.961761	2317
5368.866863	1.335936	2318
5369.849860	1.046019	2319
5370.940712	1.278611	2320
5371.921396	1.099136	2321
5373.003299	1.264830	2322
5373.991498	0.944494	2323
5375.074756	1.314282	2324
5376.054871	0.995754	2325
5377.138576	1.239203	2326
5378.129749	1.317905	2327
5379.215363	1.339175	2328
5380.199732	1.099660	2329
5381.287604	1.355924	2330
5382.255639	0.946328	2331
5383.359512	1.457419	2332
5384.326057	1.156405	2333
5385.422174	1.397499	2334
5386.416801	1.188101	2335
5387.482486	1.398421	2336
5388.474502	1.025644	2337
5389.555969	1.477719	2338
5390.531987	1.238562	2339
5391.626321	1.441747	2340
5392.612508	1.371942	2341
5393.699305	1.557810	2342
5394.679953	1.027466	2343
5395.772122	1.468603	2344
5396.731937	1.114107	2345
5397.837457	1.580338	2346
5398.819637	1.375630	2347
5399.903965	1.533047	2348
5400.900818	1.025246	2349
5401.969629	1.492334	2350
5402.959561	0.907599	2351
5404.042852	1.372077	2352
5405.017801	0.928993	2353
5406.108504	1.270416	2354
5407.086483	1.245235	2355
5408.174580	1.296229	2356
5409.163839	1.385286	2357
5410.242078	1.514170	2358
5411.237690	1.397622	2359
5412.313746	1.564705	2360
5413.309091	1.182177	2361
5414.388406	1.455149	2362
5415.374060	1.198179	2363
5416.456664	1.435864	2364
5417.438114	1.240800	2365
5418.523691	1.583286	2366
5419.507110	1.336857	2367
5420.595907	1.710820	2368
5421.580701	1.182872	2369
5422.662424	1.456633	2370
5423.650624	1.241030	2371
5424.724254	1.499143	2372
5425.725464	1.399063	2373
5426.792044	1.632938	2374
5427.792466	1.205674	2375
5428.869519	1.513497	2376
5429.856365	1.150096	2377
5430.937831	1.456207	2378
5431.920656	1.280429	2379
5433.007712	1.674814	2380
5433.992021	1.351851	2381
5435.079693	1.727686	2382
5436.065377	1.202572	2383
5437.147051	1.553890	2384
5438.130198	1.218430	2385
5439.208247	1.526195	2386
5440.201377	1.369711	2387
5441.276370	1.591675	2388
5442.272309	1.360539	2389
5443.348229	1.722725	2390
5444.339017	1.464737	2391
5445.418876	1.668337	2392
5446.412118	1.576379	2393
5447.487098	1.628494	2394
5448.486730	1.555715	2395
5449.553994	1.623263	2396
5450.553945	1.451736	2397
5451.623817	1.620979	2398
5452.617589	1.461691	2399
5453.694206	1.757098	2400
5454.684255	1.532799	2401
5455.765614	1.720982	2402
5456.753506	1.649875	2403
5457.837794	1.752594	2404
5458.820712	1.424670	2405
5459.907472	1.743729	2406
5460.883008	1.465311	2407
5461.977166	1.755639	2408
5462.957330	1.617915	2409
5464.041479	1.826339	2410
5465.036566	1.424092	2411
5466.107157	1.782127	2412
5467.102632	1.341964	2413
5468.176713	1.781865	2414
5469.169177	1.610307	2415
5470.248243	1.813487	2416
5471.241958	1.751993	2417
5472.317166	1.851635	2418
5473.314160	1.465787	2419
5474.388084	1.821044	2420
5475.373034	1.351113	2421
5476.461439	1.771064	2422
5477.433633	1.451012	2423
5478.530561	1.728200	2424
5479.506473	1.699585	2425
5480.597121	1.857691	2426
5481.581720	1.705182	2427
5482.664563	1.845068	2428
5483.651703	1.593216	2429
5484.734804	1.919161	2430
5485.717524	1.633529	2431
5486.802862	2.007868	2432
5487.785735	1.639090	2433
5488.875311	1.932730	2434
5489.854992	1.731405	2435
5490.944093	1.897673	2436
5491.928306	1.840072	2437
5493.012119	1.999206	2438
5493.996046	1.837805	2439
5495.078104	2.049515	2440
5496.066387	1.730738	2441
5497.147359	2.028429	2442
5498.137418	1.624160	2443
5499.214938	1.925045	2444
5500.207364	1.728493	2445
5501.280961	1.980498	2446
5502.279165	1.780146	2447
5503.349331	2.084753	2448
5504.348511	1.755529	2449
5505.418602	2.035183	2450
5506.417944	1.699741	2451
5507.489029	1.902432	2452
5508.484748	1.790648	2453
5509.559686	2.052445	2454
5510.551559	1.801930	2455
5511.631805	2.087601	2456
5512.618737	1.822379	2457
5513.701616	2.043437	2458
5514.686558	1.844011	2459
5515.770340	2.090109	2460
5516.755745	1.905862	2461
5517.838279	2.153756	2462
5518.827731	1.855336	2463
5519.907759	2.146075	2464
5520.895688	1.786877	2465
5521.975085	2.080893	2466
5522.964514	1.849649	2467
5524.044011	2.126632	2468
5525.034760	1.931457	2469
5526.114328	2.126128	2470
5527.104809	1.952150	2471
5528.182486	2.198800	2472
5529.174411	1.936986	2473
5530.251853	2.234309	2474
5531.241827	1.851238	2475
5532.321553	2.219960	2476
5533.309939	1.880104	2477
5534.392350	2.196863	2478
5535.378227	1.978994	2479
5536.460553	2.199308	2480
5537.449326	2.051434	2481
5538.529680	2.218577	2482
5539.519696	1.950590	2483
5540.597151	2.267685	2484
5541.591429	1.890105	2485
5542.664308	2.282198	2486
5543.664545	1.947160	2487
5544.731908	2.235108	2488
5545.733995	1.905843	2489
5546.799606	2.342916	2490
5547.802226	2.067905	2491
5548.867849	2.369059	2492
5549.872340	2.269306	2493
5550.940862	2.488568	2494
5551.940871	2.099003	2495
5553.009604	2.336426	2496
5554.007909	1.978048	2497
5555.079950	2.349661	2498
5556.070887	1.970610	2499
5557.151286	2.348193	2500
5558.140680	2.088083	2501
5559.220382	2.420299	2502
5560.210174	2.234977	2503
5561.288226	2.351341	2504
5562.277984	2.160673	2505
5563.358998	2.473213	2506
5564.348222	2.054532	2507
5565.425359	2.497935	2508
