time (s)	det(V)
7348.733619	-0.010580	
7348.735102	-0.009859	
7348.736881	-0.010044	
7348.738359	-0.011293	
7348.739888	-0.010983	
7348.741418	-0.010701	
7348.742978	-0.011607	
7348.744536	-0.012389	
7348.746032	-0.012393	
7348.747683	-0.012598	
7348.749160	-0.013597	
7348.750780	-0.013070	
7348.752293	-0.012538	
7348.753938	-0.012627	
7348.755410	-0.012969	
7348.757142	-0.012993	
7348.758610	-0.012715	
7348.760323	-0.013263	
7348.761808	-0.013746	
7348.763497	-0.013227	
7348.764987	-0.013215	
7348.766673	-0.013573	
7348.768165	-0.013066	
7348.769937	-0.013062	
7348.771448	-0.013408	
7348.773185	-0.013090	
7348.774687	-0.012888	
7348.776394	-0.013243	
7348.777932	-0.013650	
7348.779629	-0.013903	
7348.781166	-0.014189	
7348.782862	-0.014149	
7348.784425	-0.014846	
7348.786105	-0.014093	
7348.787672	-0.014278	
7348.789337	-0.014536	
7348.790917	-0.014326	
7348.792548	-0.014963	
7348.794137	-0.015970	
7348.795736	-0.016256	
7348.797402	-0.016216	
7348.798987	-0.016989	
7348.800634	-0.017436	
7348.802216	-0.017021	
7348.803859	-0.017235	
7348.805416	-0.018097	
7348.807111	-0.018351	
7348.808644	-0.018822	
7348.810355	-0.020131	
7348.811869	-0.020921	
7348.813611	-0.021086	
7348.815101	-0.021896	
7348.816857	-0.022967	
7348.818341	-0.023023	
7348.820132	-0.023616	
7348.821618	-0.025070	
7348.823384	-0.025312	
7348.824861	-0.025731	
7348.826633	-0.027402	
7348.828120	-0.028196	
7348.829864	-0.029247	
7348.831377	-0.030069	
7348.833102	-0.032188	
7348.834624	-0.031789	
7348.836330	-0.032321	
7348.837866	-0.033654	
7348.839570	-0.034625	
7348.841149	-0.034456	
7348.842640	-0.036220	
7348.844299	-0.037457	
7348.845782	-0.038098	
7348.847415	-0.039596	
7348.848930	-0.040216	
7348.850574	-0.041312	
7348.852048	-0.041731	
7348.853665	-0.042299	
7348.855148	-0.043737	
7348.856843	-0.043959	
7348.858327	-0.045288	
7348.860032	-0.046186	
7348.861516	-0.046722	
7348.863193	-0.047798	
7348.864702	-0.048946	
7348.866344	-0.049925	
7348.867898	-0.050134	
7348.869634	-0.050497	
7348.871167	-0.051415	
7348.872871	-0.051721	
7348.874423	-0.051915	
7348.876105	-0.053196	
7348.877683	-0.054154	
7348.879340	-0.054686	
7348.880922	-0.055750	
7348.882556	-0.056430	
7348.884162	-0.056874	
7348.885792	-0.056535	
7348.887407	-0.056906	
7348.889015	-0.057699	
7348.890659	-0.057703	
7348.892254	-0.058723	
7348.893936	-0.059460	
7348.895503	-0.059855	
7348.897200	-0.059802	
7348.898754	-0.060833	
7348.900449	-0.061176	
7348.902004	-0.061131	
7348.903692	-0.061200	
7348.905247	-0.061893	
7348.906969	-0.061893	
7348.908466	-0.062255	
7348.910217	-0.063625	
7348.911695	-0.063758	
7348.913475	-0.063947	
7348.914959	-0.064757	
7348.916747	-0.065482	
7348.918237	-0.065478	
7348.919999	-0.066131	
7348.921481	-0.066888	
7348.923246	-0.067009	
7348.924748	-0.067194	
7348.926474	-0.069160	
7348.927986	-0.069812	
7348.929710	-0.070401	
7348.931237	-0.071778	
7348.932964	-0.072842	
7348.934509	-0.073228	
7348.936206	-0.074377	
7348.937763	-0.075202	
7348.939431	-0.076165	
7348.941024	-0.077136	
7348.942512	-0.078892	
7348.944128	-0.080109	
7348.945649	-0.081168	
7348.947285	-0.082208	
7348.948763	-0.083674	
7348.950414	-0.085011	
7348.951892	-0.086023	
7348.953514	-0.086872	
7348.954990	-0.089144	
7348.956606	-0.089910	
7348.958091	-0.091199	
7348.959764	-0.093455	
7348.961286	-0.095292	
7348.962928	-0.097068	
7348.964479	-0.098373	
7348.966086	-0.100569	
7348.967673	-0.101886	
7348.969244	-0.102752	
7348.970855	-0.104517	
7348.972483	-0.106386	
7348.974084	-0.107904	
7348.975714	-0.109512	
7348.977351	-0.111626	
7348.978959	-0.114080	
7348.980637	-0.115071	
7348.982208	-0.116533	
7348.983891	-0.117842	
7348.985477	-0.119554	
7348.987144	-0.120710	
7348.988704	-0.122475	
7348.990403	-0.123498	
7348.991961	-0.124569	
7348.993678	-0.126511	
7348.995207	-0.127478	
7348.996938	-0.128630	
7348.998430	-0.129947	
7349.000193	-0.131510	
7349.001676	-0.131905	
7349.003453	-0.132477	
7349.004945	-0.133980	
7349.006733	-0.134229	
7349.008208	-0.134141	
7349.009984	-0.136050	
7349.011462	-0.136570	
7349.013233	-0.136356	
7349.014730	-0.138169	
7349.016481	-0.138024	
7349.017999	-0.138185	
7349.019718	-0.138584	
7349.021242	-0.139092	
7349.022949	-0.139365	
7349.024484	-0.139370	
7349.026177	-0.139503	
7349.027730	-0.140244	
7349.029388	-0.140514	
7349.030959	-0.140340	
7349.032621	-0.140860	
7349.034224	-0.141078	
7349.035887	-0.140715	
7349.037490	-0.140497	
7349.039119	-0.140675	
7349.040716	-0.140699	
7349.042356	-0.140449	
7349.044035	-0.141533	
7349.045514	-0.141585	
7349.047166	-0.141279	
