time (s)	magX	magY	magZ
7958.339466	-306.312103	-81.122147	454.646393
7958.342803	-305.084747	-83.167740	460.432495
7958.346127	-304.441864	-84.862656	465.692566
7958.349464	-302.980713	-86.674461	470.309784
7958.352802	-301.870239	-88.486267	476.504944
7958.356145	-300.175323	-90.473404	481.765045
7958.359464	-298.655762	-92.518997	487.434235
7958.362803	-298.129761	-94.623032	492.402130
7958.366134	-296.142609	-96.843948	496.259491
7958.369462	-294.272339	-98.421974	500.935120
7958.372799	-292.811218	-100.584457	506.779663
7958.376133	-291.116302	-102.746925	512.331970
7958.379459	-288.836945	-105.143188	517.299866
7958.382794	-287.083588	-106.838104	523.202820
7958.386125	-284.161316	-109.175919	527.235535
7958.389460	-281.998840	-110.812393	532.378723
7958.393665	-278.199890	-115.020454	543.074219
7958.397093	-274.810059	-116.832260	547.866699
7958.400404	-272.063110	-120.105209	553.243713
7958.403729	-268.790161	-121.566330	558.270020
7958.406558	-266.043243	-123.670364	562.302734
7958.409913	-263.296326	-125.949738	569.082397
7958.413210	-260.023376	-127.293983	573.348877
7958.416543	-256.165985	-130.625366	579.602600
7958.419456	-252.893036	-131.560486	583.927551
7958.422799	-249.795441	-134.190536	588.720032
7958.426121	-244.944473	-136.294571	594.389221
7958.429457	-241.145538	-138.281708	598.889526
7958.432786	-237.288147	-140.210403	602.688477
7958.436123	-233.196945	-142.489761	608.240784
7958.439481	-229.164246	-144.827576	611.981323
7958.442784	-224.430161	-146.580948	615.955566
7958.446118	-220.105194	-148.801880	619.462280
7958.449455	-215.020462	-151.022797	624.488586
7958.452794	-210.403275	-152.834595	629.105835
7958.456122	-205.961426	-154.295731	632.495605
7958.459451	-200.233795	-156.399765	636.294556
7958.462785	-196.201050	-158.328461	639.509033
7958.466121	-190.298065	-160.081833	643.541748
7958.469451	-185.680893	-162.770309	646.522522
7958.472784	-179.953247	-163.530106	647.691406
7958.476120	-174.634720	-166.569260	652.951477
7958.479450	-169.608414	-167.738159	653.945068
7958.482812	-163.997665	-169.900650	656.691956
7958.486114	-157.860901	-171.829346	659.322021
7958.489454	-152.425476	-173.524261	662.185852
7958.494119	-141.087082	-176.972534	665.108093
7958.497069	-135.359436	-179.018112	666.277039
7958.500406	-129.514908	-180.245468	669.316223
7958.503663	-123.495033	-182.407959	669.433044
7958.506969	-117.241379	-183.401520	671.244934
7958.509880	-111.396851	-185.622437	671.946228
7958.513204	-105.552307	-187.317352	672.998230
7958.516536	-99.532440	-188.135590	673.524231
7958.519875	-92.986557	-189.888947	675.686768
7958.522779	-86.674461	-190.648743	674.634705
7958.526141	-80.713036	-191.233200	674.167175
7958.529449	-74.693161	-193.045013	674.634705
7958.532780	-68.673286	-194.447693	674.693176
7958.536110	-61.718292	-194.739914	674.576294
7958.539466	-55.113972	-196.025711	673.524231
7958.542780	-48.626534	-196.493286	672.939819
7958.546111	-42.197548	-197.019287	670.835754
7958.549449	-36.353008	-198.012848	670.835754
7958.552777	-29.631794	-198.129745	668.614868
7958.556108	-23.436586	-199.298660	667.153687
7958.559447	-16.715372	-200.058441	666.160156
7958.562780	-11.279953	-199.941559	664.114563
7958.566106	-4.675628	-200.818222	661.952087
7958.569468	2.571596	-200.818222	659.322021
7958.572771	8.942139	-200.876694	658.153076
7958.576105	15.429573	-200.818222	654.471069
7958.579440	20.864992	-201.461121	651.841003
7958.582785	27.352425	-201.461121	649.737000
7958.586107	32.904736	-202.220917	645.587402
7958.589436	39.041496	-201.694916	644.009338
7958.592772	45.353596	-201.636475	639.509033
7958.597043	56.165989	-201.694916	632.261841
7958.600382	61.952072	-201.694916	629.047363
7958.603620	67.212158	-201.344254	624.897705
7958.606962	72.355347	-201.870255	620.923401
7958.609860	77.323204	-200.876694	617.825867
7958.613209	82.524841	-200.642899	612.916443
7958.616529	86.908241	-200.116898	608.416138
7958.619861	92.343658	-200.175339	604.441833
7958.622764	96.259499	-199.123322	598.714233
