time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6725.228750	111.588875	0.964676	0.100000	93
6727.321978	111.984253	0.961435	0.100000	95
6729.411587	111.363289	0.976263	0.100000	97
6731.498962	110.737343	0.975338	0.100000	99
6733.584354	117.945152	1.007682	0.100000	101
6735.667386	97.980324	1.032151	0.100000	103
6737.746714	110.803482	0.990437	0.100000	105
6739.820406	113.250305	1.001882	0.100000	107
6741.895593	109.727577	0.960914	0.100000	109
6743.987062	108.854240	0.952835	0.100000	111
6746.088319	109.892647	0.984343	0.100000	113
6748.180459	93.599297	1.040842	0.100000	115
6750.249160	100.957199	1.015542	0.100000	117
6752.322043	109.831093	0.967162	0.100000	119
6754.425705	109.306381	0.981713	0.100000	121
6756.520239	93.534798	1.049954	0.100000	123
6758.598597	96.340050	1.039448	0.100000	125
6760.667673	92.661476	0.974896	0.100000	127
6762.747892	108.988441	0.973873	0.100000	129
6764.851695	109.406853	1.001592	0.100000	131
6766.943297	109.716972	1.047132	0.100000	133
6769.030731	111.188759	1.055631	0.100000	135
6771.115997	104.852608	1.064178	0.100000	137
6773.199383	109.201508	1.061927	0.100000	139
6775.283018	92.653206	1.051079	0.100000	141
6777.369315	97.501617	1.063382	0.100000	143
6779.455799	109.076210	1.069087	0.100000	145
6781.537621	113.188454	1.072078	0.100000	147
6783.614022	111.597290	1.061607	0.100000	149
6785.688511	127.756042	0.950430	0.100000	151
6787.765114	109.116997	1.001485	0.100000	153
6789.852635	109.074402	1.020590	0.100000	155
6791.954356	96.367050	1.054972	0.100000	157
6794.044319	114.142761	1.081936	0.100000	159
6796.120209	111.806763	1.079450	0.100000	161
6798.193664	107.482513	1.048085	0.100000	163
6800.273819	109.276695	1.012011	0.100000	165
6802.364915	108.269791	1.044334	0.100000	167
6804.463517	112.706848	1.072631	0.100000	169
6806.551309	115.826439	1.086068	0.100000	171
6808.634556	113.687691	1.101022	0.100000	173
6810.715653	91.034058	1.048502	0.100000	175
6812.796822	111.670403	1.085681	0.100000	177
6814.878470	112.926117	1.089101	0.100000	179
6816.961605	113.574341	1.079669	0.100000	181
6819.048758	110.725510	1.065455	0.100000	183
6821.139579	113.449432	1.093524	0.100000	185
6823.226491	112.239670	1.085539	0.100000	187
6825.313306	112.642395	1.089128	0.100000	189
6827.398358	112.530502	1.098487	0.100000	191
6829.475744	98.105209	1.084552	0.100000	193
6831.548480	87.040031	1.037591	0.100000	195
6833.623577	107.671341	1.014846	0.100000	197
6835.712447	109.641190	1.050920	0.100000	199
6837.808702	113.321419	1.091467	0.098505	201
6839.900824	112.837143	1.110770	0.100000	203
6841.989892	112.754288	1.108892	0.100000	205
6844.067886	112.582405	1.116102	0.100000	207
6846.142082	112.668549	1.102450	0.100000	209
6848.217638	112.016472	1.077670	0.100000	211
6850.299533	112.983673	1.054843	0.100000	213
6852.386685	129.410110	1.036360	0.100000	215
6854.473103	108.443558	1.079422	0.100000	217
6856.558083	132.133484	1.025702	0.100000	219
6858.641566	109.356041	1.062143	0.100000	221
6860.724117	126.628975	0.969078	0.100000	223
6862.806474	121.504112	0.974522	0.100000	225
6864.889906	110.638741	1.055271	0.100000	227
6866.975293	127.722099	1.010843	0.100000	229
6869.062985	107.951530	1.077220	0.100000	231
6871.154760	112.622894	1.094685	0.100000	233
6873.248721	113.974892	1.116368	0.100000	235
6875.338572	96.996048	1.096746	0.100000	237
6877.421779	114.784889	1.130957	0.100000	239
6879.499094	115.042427	1.145976	0.098336	241
6881.574739	105.322517	1.110921	0.100000	243
6883.650971	120.760948	0.987632	0.100000	245
6885.732500	111.828117	1.056766	0.100000	247
6887.820206	111.579536	1.076800	0.100000	249
6889.911535	112.384026	1.095905	0.100000	251
6892.001493	109.086014	1.093409	0.100000	253
6894.090424	115.848015	1.139247	0.100000	255
6896.177170	115.528191	1.141829	0.099369	1
6898.262390	104.214996	1.121537	0.100000	3
6900.345983	105.451149	1.116849	0.100000	5
6902.428487	96.730125	1.103887	0.100000	7
6904.509771	105.068192	1.109668	0.100000	9
6906.590021	113.148697	1.127353	0.100000	11
6908.668687	111.616913	1.082949	0.100000	13
6910.747211	112.691490	1.093762	0.100000	15
6912.829704	110.978088	1.082496	0.100000	17
6914.918630	115.450226	1.117125	0.092406	19
6917.009964	114.737907	1.130017	0.091490	21
6919.100325	122.712051	1.058819	0.100000	23
6921.190522	113.717491	1.142722	0.100000	25
6923.277231	94.292679	1.105494	0.100000	27
6925.359402	93.922394	1.111239	0.100000	29
6927.439001	114.237968	1.151248	0.100000	31
6929.518061	113.869705	1.139476	0.100000	33
6931.597543	113.303139	1.126401	0.100000	35
6933.678250	122.201950	1.027873	0.100000	37
6935.759728	109.597198	1.114049	0.100000	39
6937.842972	113.477539	1.097655	0.100000	41
6939.927367	112.116570	1.119260	0.100000	43
6942.012209	111.459503	1.115544	0.100000	45
6944.097613	112.943504	1.111554	0.100000	47
6946.184173	112.762909	1.124147	0.100000	49
6948.271397	129.201538	0.971563	0.100000	51
6950.360044	125.466591	0.986865	0.100000	53
6952.448624	105.659294	1.009169	0.100000	55
6954.535405	116.424500	1.160262	0.096157	57
6956.619577	114.971916	1.147355	0.100000	59
6958.699712	116.462555	1.161166	0.093939	61
6960.777402	116.103790	1.153590	0.090690	63
6962.854484	111.122665	1.121101	0.100000	65
6964.932412	107.190239	1.011464	0.100000	67
6967.013308	111.243744	0.972935	0.100000	69
6969.096721	129.424713	0.933200	0.100000	71
6971.181986	111.021278	1.093855	0.100000	73
6973.268094	112.112190	1.101864	0.100000	75
6975.353948	112.821945	1.106278	0.100000	77
6977.439388	117.682167	1.136316	0.094490	79
6979.523382	109.606300	1.099540	0.100000	81
6981.606514	117.940239	1.135979	0.094712	83
6983.688306	118.205109	1.133113	0.095037	85
6985.769128	113.451897	1.102192	0.100000	87
6987.849713	113.531273	1.075839	0.100000	89
6989.931877	111.429649	1.074480	0.100000	91
6992.016533	111.067566	1.070245	0.100000	93
6994.103683	129.790482	0.902816	0.100000	95
6996.192387	111.671661	1.089425	0.100000	97
6998.282591	116.034851	1.118240	0.087867	99
7000.372399	112.132057	1.029230	0.100000	101
7002.459653	115.916580	1.133799	0.092383	103
