phase	duration	avgnrg	numhalfcycles	elapsedtime	lifetime_s	lifetime_asq	deltanrg	coilnrg	nrgloss	coiladj
25	7	0.006791	200	206.705	885.525	1078.6	0.003599	0.005771	0.001404457	0.867
25	7	0.006226	201	207.945	939.893	1019.26	0.002558	0.0056	0.001208	0.851
25	7	0.00647	201	207.28	946.335	1051.37	0.003195	0.004596	0.00893115	0.889
30	10	0.007217	155	160.31	941.549	1648.96	0.003798	0.005586	0.001073	0.872
30	10	0.006593	198	204.374	1061.91	1001.2	0.004737	0.006879	0.001249	0.87
30	10	0.007186	151	156.105	892.386	1042.75	0.004287	0.005405	0.00104	0.986
30	15	0.00712	103	106.329	932.062	1110.95	0.003809	0.005219	0.000701911	0.864
30	15	0.010464	200	208.174	808.697	608.952	0.008725	0.013738	0.002694	0.83
30	15	0.001618	199	207.422	909.613	2426.61	0.009985	0.014736	0.000907644	0.76
45	10	0.006855	201	708.945	997.819	875.991	0.000701162	0.00386	0.001635	0.061
45	10	0.006333	202	210.762	1079.16	869.56	0.002552	0.004495	0.001535	0.82
45	10	0.00613	199	207.824	1090.49	1606.17	0.001561	0.004485	0.000793165	0.53
45	15	0.00706	200	206.977	871.082	1039.88	0.002229	0.004954	0.001405	0.73
45	15	0.00682	200	208.538	1052.67	931.318	0.00374	0.004895	0.001527	1.08
25	15	0.015164	202	216.008	693.693	981.383	0.013132	0.020249	0.003262	0.81
45	15	0.006656	197	205.368	889.16	822.829	0.003254	0.005516	0.001661	0.89
25	15	0.014478	200	208.337	806.201	1055.48	0.016246	0.023146	0.02858	0.83
